2026-02-21 15:55:57,637 - INFO - username: charlesmartin
2026-02-21 15:55:57,639 - INFO - signup_email_address: john64@outlook
2026-02-21 15:55:57,639 - INFO - clicking on element: ('xpath', "//li[contains(., ' Signup / Login')]")
2026-02-21 15:56:08,916 - INFO - Entering text: charlesmartin in to element: ('xpath', "//input[@data-qa='signup-name']")
2026-02-21 15:56:11,386 - INFO - Entering text: john64@outlook in to element: ('xpath', "//input[@data-qa='signup-email']")
2026-02-21 15:56:11,800 - INFO - clicking on element: ('xpath', "//button[@data-qa='signup-button']")
2026-02-21 15:56:13,823 - INFO - clicking on element: ('id', 'id_gender1')
2026-02-21 15:56:16,074 - INFO - Entering text: saran@002 in to element: ('id', 'password')
2026-02-21 15:56:16,395 - INFO - selecting value6 from dropdown: ('id', 'days')
2026-02-21 15:56:16,863 - INFO - selecting April from dropdown: ('id', 'months')
2026-02-21 15:56:17,069 - INFO - selecting value1994 from dropdown: ('id', 'years')
2026-02-21 15:56:17,283 - INFO - clicking on element: ('id', 'newsletter')
2026-02-21 15:56:17,481 - INFO - clicking on element: ('xpath', "//input[@id= 'optin']")
2026-02-21 15:56:17,744 - INFO - Entering text: sahar in to element: ('id', 'first_name')
2026-02-21 15:56:17,884 - INFO - Entering text: dube in to element: ('id', 'last_name')
2026-02-21 15:56:18,028 - INFO - Entering text: Mumbai in to element: ('id', 'company')
2026-02-21 15:56:18,213 - INFO - Entering text: panchashl bagar in to element: ('xpath', "(//input[@type= 'text'])[6]")
2026-02-21 15:56:18,394 - INFO - Entering text: sane gurugi in to element: ('xpath', "(//input[@type= 'text'])[7]")
2026-02-21 15:56:18,549 - INFO - Entering text: bhag 2 in to element: ('xpath', "(//input[@type= 'text'])[8]")
2026-02-21 15:56:18,810 - INFO - selecting India from dropdown: ('id', 'country')
2026-02-21 15:56:18,923 - INFO - Entering text: Maharashtra in to element: ('id', 'state')
2026-02-21 15:56:19,020 - INFO - Entering text: Yavatmal in to element: ('id', 'city')
2026-02-21 15:56:19,163 - INFO - Entering text: 445563 in to element: ('id', 'zipcode')
2026-02-21 15:56:19,359 - INFO - Entering text: 9988774455 in to element: ('id', 'mobile_number')
2026-02-21 15:56:19,546 - INFO - clicking on element: ('xpath', '/html[1]/body[1]/section[1]/div[1]/div[1]/div[1]/div[1]/form[1]/button[1]')
2026-02-21 15:56:27,661 - INFO - clicking on element: ('xpath', "//a[@class ='btn btn-primary']")
2026-02-21 15:56:44,626 - INFO - username: stephanie91
2026-02-21 15:56:44,626 - INFO - signup_email_address: osullivan@outlook
2026-02-21 15:56:44,626 - INFO - clicking on element: ('xpath', "//li[contains(., ' Signup / Login')]")
2026-02-21 15:56:52,178 - INFO - Entering text: stephanie91 in to element: ('xpath', "//input[@data-qa='signup-name']")
2026-02-21 15:56:55,151 - INFO - Entering text: osullivan@outlook in to element: ('xpath', "//input[@data-qa='signup-email']")
2026-02-21 15:56:55,594 - INFO - clicking on element: ('xpath', "//button[@data-qa='signup-button']")
2026-02-21 15:56:57,882 - INFO - clicking on element: ('id', 'id_gender1')
2026-02-21 15:56:58,723 - INFO - Entering text: sahu@78 in to element: ('id', 'password')
2026-02-21 15:57:00,931 - INFO - selecting value12 from dropdown: ('id', 'days')
2026-02-21 15:57:01,206 - INFO - selecting May from dropdown: ('id', 'months')
2026-02-21 15:57:03,126 - INFO - selecting value1985 from dropdown: ('id', 'years')
2026-02-21 15:57:03,583 - INFO - clicking on element: ('id', 'newsletter')
2026-02-21 15:57:03,829 - INFO - clicking on element: ('xpath', "//input[@id= 'optin']")
2026-02-21 15:57:04,159 - INFO - Entering text: sahil in to element: ('id', 'first_name')
2026-02-21 15:57:04,876 - INFO - Entering text: shaikh in to element: ('id', 'last_name')
2026-02-21 15:57:05,616 - INFO - Entering text: tata in to element: ('id', 'company')
2026-02-21 15:57:06,113 - INFO - Entering text: pune in to element: ('xpath', "(//input[@type= 'text'])[6]")
2026-02-21 15:57:06,402 - INFO - Entering text: chichwad in to element: ('xpath', "(//input[@type= 'text'])[7]")
2026-02-21 15:57:06,961 - INFO - Entering text: hinjawadi in to element: ('xpath', "(//input[@type= 'text'])[8]")
2026-02-21 15:57:07,270 - INFO - selecting India from dropdown: ('id', 'country')
2026-02-21 15:57:07,502 - INFO - Entering text: panjab in to element: ('id', 'state')
2026-02-21 15:57:07,647 - INFO - Entering text: luhiyana in to element: ('id', 'city')
2026-02-21 15:57:07,925 - INFO - Entering text: 448552 in to element: ('id', 'zipcode')
2026-02-21 15:57:08,182 - INFO - Entering text: 8575 in to element: ('id', 'mobile_number')
2026-02-21 15:57:08,365 - INFO - clicking on element: ('xpath', '/html[1]/body[1]/section[1]/div[1]/div[1]/div[1]/div[1]/form[1]/button[1]')
2026-02-21 15:57:19,314 - INFO - clicking on element: ('xpath', "//a[@class ='btn btn-primary']")
